Episode,Step,mac_fill,MAC_Count,flood_pressure,avg_age,Situation,State_Index,Original_Action,Executed_Action,Action_Name,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Chosen_By,Outcome,Reward,Total_Ep_Reward,Epsilon,Port_Acted,Evicted_MAC,Old_MAC_Fill,New_MAC_Fill,Old_Flood,New_Flood,Old_Age,New_Age
1,1,0.8571,24,0.0,0.0838,PREVENTIVE,441,1,1,INCREASE_AGING,0.0,0.0403,0.0,0.0,RANDOM,neutral,0.4025,0.4025,1.0,N/A,N/A,0.8571,0.8571,1.0,0.0,0.1643,0.0838
1,2,0.8571,24,0.0,0.0855,PREVENTIVE,384,1,1,INCREASE_AGING,0.0,-0.0009,0.0,0.0,RANDOM,neutral,-0.0085,0.394,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0838,0.0855
1,3,0.8571,24,0.0,0.0872,PREVENTIVE,384,3,3,REBALANCE,0.0,-0.0009,0.0,-0.0008,RANDOM,neutral,-0.0085,0.3855,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0855,0.0872
1,4,0.8571,24,0.0,0.0888,PREVENTIVE,384,1,1,INCREASE_AGING,0.0,-0.0016,0.0,-0.0008,RANDOM,neutral,-0.008,0.3775,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0872,0.0888
1,5,0.8571,24,0.0,0.0905,PREVENTIVE,384,1,1,INCREASE_AGING,0.0,-0.0023,0.0,-0.0008,RANDOM,neutral,-0.0085,0.369,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0888,0.0905
1,6,0.8571,24,0.0,0.0922,PREVENTIVE,384,3,3,REBALANCE,0.0,-0.0023,0.0,-0.0016,RANDOM,neutral,-0.0085,0.3605,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0905,0.0922
1,7,0.8571,24,0.0,0.0938,PREVENTIVE,384,3,3,REBALANCE,0.0,-0.0023,0.0,-0.0023,RANDOM,neutral,-0.008,0.3525,1.0,N/A,N/A,0.8571,0.8571,0.0,0.0,0.0922,0.0938
1,8,0.4286,12,0.0,0.625,NORMAL,384,2,2,DECREASE_AGING,0.0,-0.0023,0.1629,-0.0023,RANDOM,neutral,1.629,1.9815,1.0,N/A,N/A,0.8571,0.4286,0.0,0.0,0.0938,0.625
1,9,0.4286,12,0.0,0.0642,NORMAL,197,1,1,INCREASE_AGING,0.0,0.2804,0.0,0.0,RANDOM,neutral,2.804,4.7855,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.625,0.0642
1,10,0.4286,12,0.0,0.0658,NORMAL,192,3,3,REBALANCE,0.0,0.0,0.0,-0.0008,RANDOM,neutral,-0.008,4.7775,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0642,0.0658
1,11,0.4286,12,0.0,0.0675,NORMAL,192,0,0,EVICT,-0.0009,0.0,0.0,-0.0008,RANDOM,neutral,-0.0085,4.769,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0658,0.0675
1,12,0.4286,12,0.0,0.6917,NORMAL,192,2,2,DECREASE_AGING,-0.0009,0.0,-0.2843,-0.0008,RANDOM,neutral,-3.121,1.648,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0675,0.6917
1,13,0.4286,12,0.0,0.7083,NORMAL,197,0,0,EVICT,0.0195,0.2804,0.0,0.0,RANDOM,neutral,-0.083,1.565,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.6917,0.7083
1,14,0.4286,12,0.0,0.0725,NORMAL,197,1,1,INCREASE_AGING,0.0195,0.5703,0.0,0.0,RANDOM,neutral,3.179,4.744,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.7083,0.0725
1,15,0.4286,12,0.0,0.0742,NORMAL,192,3,3,REBALANCE,-0.0009,0.0,-0.2843,-0.0016,RANDOM,neutral,-0.0085,4.7355,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0725,0.0742
1,16,0.4286,12,0.0,0.0758,NORMAL,192,3,3,REBALANCE,-0.0009,0.0,-0.2843,-0.0022,RANDOM,neutral,-0.008,4.7275,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0742,0.0758
1,17,0.4286,12,0.0,0.0775,NORMAL,192,0,0,EVICT,-0.0016,0.0,-0.2843,-0.0022,RANDOM,neutral,-0.0085,4.719,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0758,0.0775
1,18,0.4286,12,0.0,0.7917,NORMAL,192,2,2,DECREASE_AGING,-0.0016,0.0,-0.613,-0.0022,RANDOM,neutral,-3.571,1.148,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.0775,0.7917
1,19,0.4286,12,0.0,0.8083,NORMAL,198,0,0,EVICT,-0.0083,0.0,0.0,0.0,RANDOM,neutral,-0.083,1.065,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.7917,0.8083
1,20,0.4286,12,0.0,0.825,NORMAL,198,2,2,DECREASE_AGING,-0.0083,0.0,-0.0083,0.0,RANDOM,neutral,-0.0835,0.9815,1.0,N/A,N/A,0.4286,0.4286,0.0,0.0,0.8083,0.825
1,21,0.3214,9,0.0,0.7889,NORMAL,198,2,2,DECREASE_AGING,-0.0083,0.0,0.1177,0.0,RANDOM,neutral,1.2525,2.234,1.0,N/A,N/A,0.4286,0.3214,0.0,0.0,0.825,0.7889
1,22,0.3214,9,0.0,0.8056,NORMAL,134,3,3,REBALANCE,0.0,0.0,0.0,-0.0083,RANDOM,neutral,-0.0835,2.1505,1.0,N/A,N/A,0.3214,0.3214,0.0,0.0,0.7889,0.8056
1,23,0.3214,9,0.0,0.8222,NORMAL,134,2,2,DECREASE_AGING,0.0,0.0,-0.0083,-0.0083,RANDOM,neutral,-0.083,2.0675,1.0,N/A,N/A,0.3214,0.3214,0.0,0.0,0.8056,0.8222
1,24,0.2857,8,0.0,0.8187,NORMAL,134,3,3,REBALANCE,0.0,0.0,-0.0083,0.0299,RANDOM,neutral,0.3745,2.442,1.0,N/A,N/A,0.3214,0.2857,0.0,0.0,0.8222,0.8187
1,25,0.2143,6,0.0,0.6667,NORMAL,134,0,0,EVICT,0.1474,0.0,-0.0083,0.0299,RANDOM,neutral,1.474,3.916,1.0,N/A,N/A,0.2857,0.2143,0.0,0.0,0.8187,0.6667
1,26,0.2143,6,0.0,0.6833,NORMAL,69,3,3,REBALANCE,0.0,0.0,0.0,-0.0083,RANDOM,neutral,-0.083,3.833,1.0,N/A,N/A,0.2143,0.2143,0.0,0.0,0.6667,0.6833
1,27,0.2143,6,0.0,0.7,NORMAL,69,3,3,REBALANCE,0.0,0.0,0.0,-0.0158,RANDOM,neutral,-0.0835,3.7495,1.0,N/A,N/A,0.2143,0.2143,0.0,0.0,0.6833,0.7
1,28,0.2143,6,0.0,0.7167,NORMAL,69,0,0,EVICT,-0.0084,0.0,0.0,-0.0158,RANDOM,neutral,-0.0835,3.666,1.0,N/A,N/A,0.2143,0.2143,0.0,0.0,0.7,0.7167
1,29,0.1786,5,0.0,0.68,NORMAL,69,3,3,REBALANCE,-0.0084,0.0,0.0,0.0398,RANDOM,neutral,0.5405,4.2065,1.0,N/A,N/A,0.2143,0.1786,0.0,0.0,0.7167,0.68
1,30,0.1786,5,0.0,0.0697,NORMAL,69,3,1,INCREASE_AGING,-0.0084,0.3052,0.0,0.0398,RANDOM,neutral,3.0515,7.258,1.0,N/A,N/A,0.1786,0.1786,0.0,0.0,0.68,0.0697
2,1,0.1786,5,0.0,0.0713,NORMAL,64,1,1,INCREASE_AGING,0.0,-0.0008,0.0,0.0,RANDOM,neutral,-0.008,-0.008,0.985,N/A,N/A,0.1786,0.1786,0.0,0.0,0.0697,0.0713
2,2,0.1786,5,0.0,0.073,NORMAL,64,1,1,INCREASE_AGING,0.0,-0.0016,0.0,0.0,RANDOM,neutral,-0.0085,-0.0165,0.985,N/A,N/A,0.1786,0.1786,0.0,0.0,0.0713,0.073
2,3,0.1429,4,0.0,0.6708,NORMAL,64,2,2,DECREASE_AGING,0.0,-0.0016,-0.233,0.0,RANDOM,neutral,-2.632,-2.6485,0.985,N/A,N/A,0.1786,0.1429,0.0,0.0,0.073,0.6708
2,4,0.1429,4,0.0,0.0688,NORMAL,69,1,1,INCREASE_AGING,-0.0084,0.5756,0.0,0.0398,GREEDY,neutral,3.01,0.3615,0.985,N/A,N/A,0.1429,0.1429,0.0,0.0,0.6708,0.0688
2,5,0.1429,4,0.0,0.0704,NORMAL,64,1,1,INCREASE_AGING,0.0,-0.0022,-0.233,0.0,RANDOM,neutral,-0.008,0.3535,0.985,N/A,N/A,0.1429,0.1429,0.0,0.0,0.0688,0.0704
